experiment_folder,source,sampling_method,mode,sample_fraction,speedup,speedup_pvalue,delta_mae_vs_baseline,delta_accuracy_vs_baseline,fake_hit_ratio_mean,final_test_mae_mean,final_test_mae_std,final_test_accuracy_mean,final_test_accuracy_std,total_time_sec_mean,total_time_sec_std,mae_pvalue
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,baseline,,baseline_simple,1.0,1.0,,0.0,0.0,0.0,0.081578947368421,0.0191045569870405,0.918421052631579,0.0191045569870404,17.636961253484092,5.766877718313418,
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,FEC,farthest_point,farthest_point,0.1,0.9565533281374036,0.703690622137024,0.0001060343165606,-0.0001060343165607,0.2389319862991146,0.0816849816849816,0.0069981586719937,0.9183150183150184,0.0069981586719936,23.144154763221746,6.724016295819291,0.9777624909325272
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,FEC,farthest_point,farthest_point,0.2,0.7603214527172737,0.9994337757664856,-0.0070734528629265,0.0070734528629264,0.2036474229136294,0.0745054945054944,0.0053939516876776,0.9254945054945056,0.0053939516876776,28.64470419883728,7.623876621797432,0.0635337435871267
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,FEC,farthest_point,farthest_point,0.3,0.7883368997646202,0.9948586542288432,-0.0067804125698862,0.0067804125698861,0.1393678029902507,0.0747985347985347,0.0059916708368036,0.9252014652014652,0.0059916708368036,27.512563665707905,9.051966198898038,0.0768379070770026
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,FEC,farthest_point,farthest_point,0.5,0.8449760502110122,0.9693448225037272,-0.0084653942548679,0.0084653942548679,0.0702798885316015,0.073113553113553,0.0061100833588257,0.926886446886447,0.0061100833588258,25.66001037756602,7.9978665721283075,0.0293104233689219
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,FEC,stratified,stratified,0.1,0.9826541889435302,0.5773791356967877,-0.0030441488336225,0.0030441488336224,0.2610995896696167,0.0785347985347984,0.0064435555830904,0.9214652014652016,0.0064435555830904,22.4023433526357,7.282385287734898,0.4215904994654844
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,FEC,stratified,stratified,0.2,0.9531074193645368,0.7065696420985393,-0.0064873722768459,0.0064873722768459,0.1685220203101708,0.075091575091575,0.0087191798927491,0.924908424908425,0.008719179892749,23.01473406950633,7.595320515127973,0.1039011981854192
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,FEC,stratified,stratified,0.3,0.8721859872862094,0.9484297578505976,-0.0066338924233661,0.006633892423366,0.1223598498184196,0.0749450549450548,0.0055411935816412,0.9250549450549452,0.0055411935816412,25.073518498738608,7.078829509325384,0.0814372722212582
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,FEC,stratified,stratified,0.5,0.8622579173166673,0.9606409102439358,-0.0081723539618276,0.0081723539618275,0.096034615385696,0.0734065934065933,0.0063849841961907,0.9265934065934066,0.0063849841961907,25.177032653490706,7.235569155457601,0.0356084770254239
analcatdata_boxing1_Gen_50_Pop_1000,baseline,,baseline_simple,1.0,1.0,,0.0,0.0,0.0,0.3347222222222222,0.128867634741818,0.6652777777777777,0.128867634741818,6.095538671811422,2.0128788675279528,
analcatdata_boxing1_Gen_50_Pop_1000,FEC,farthest_point,farthest_point,0.1,0.9104914118137332,0.8883775399657758,-0.0194444444444444,0.0194444444444444,0.0419242714162115,0.3152777777777777,0.0274195653088883,0.6847222222222222,0.0274195653088883,8.02920523484548,1.9833466063658132,0.4326782809822375
analcatdata_boxing1_Gen_50_Pop_1000,FEC,farthest_point,farthest_point,0.2,0.909442333789412,0.8853021293838391,-0.0270833333333333,0.0270833333333333,0.0136422835630301,0.3076388888888888,0.041294635409218,0.6923611111111111,0.041294635409218,8.067393771807353,2.1127384664350326,0.2885248710438686
analcatdata_boxing1_Gen_50_Pop_1000,FEC,farthest_point,farthest_point,0.3,0.8905632867316631,0.9405133167765768,-0.0538194444444444,0.0538194444444445,0.0212506339481522,0.2809027777777777,0.0388345975195594,0.7190972222222223,0.0388345975195594,8.18028809229533,1.8071605303633584,0.0384215577095082
analcatdata_boxing1_Gen_50_Pop_1000,FEC,farthest_point,farthest_point,0.5,0.8950537391391351,0.9353541169842814,-0.0357638888888889,0.0357638888888889,0.0124988556378153,0.2989583333333332,0.0461283121364261,0.7010416666666667,0.0461283121364261,8.147594555219014,1.706041363655579,0.1679043431413783
analcatdata_boxing1_Gen_50_Pop_1000,FEC,stratified,stratified,0.1,0.9396905865573204,0.8092976476317215,-0.0267361111111111,0.0267361111111111,0.0472797348217165,0.307986111111111,0.0297903716372245,0.6920138888888889,0.0297903716372245,7.781262787183126,1.4426979684592074,0.2844600248651943
analcatdata_boxing1_Gen_50_Pop_1000,FEC,stratified,stratified,0.2,0.9251496910725376,0.8279167203511762,-0.0260416666666666,0.0260416666666666,0.025699984591976,0.3086805555555555,0.0364318687017117,0.6913194444444444,0.0364318687017117,7.913706954320272,2.294081355152346,0.302483434894287
analcatdata_boxing1_Gen_50_Pop_1000,FEC,stratified,stratified,0.3,0.8091830875137384,0.9929396367806732,-0.0465277777777777,0.0465277777777778,0.0444395890293648,0.2881944444444444,0.0422984509245584,0.7118055555555556,0.0422984509245585,8.993047197659811,2.722354498023887,0.0731206546505112
analcatdata_boxing1_Gen_50_Pop_1000,FEC,stratified,stratified,0.5,0.8460121069951937,0.9773283849450684,-0.0291666666666666,0.0291666666666666,0.0150374339332556,0.3055555555555555,0.0354098577332832,0.6944444444444444,0.0354098577332832,8.614942971865336,2.491674855851288,0.2482099268014386
analcatdata_boxing2_Gen_50_Pop_1000,baseline,,baseline_simple,1.0,1.0,,0.0,0.0,0.0,0.3123456790123456,0.1084805197590798,0.6876543209876543,0.1084805197590798,10.447266936302183,1.8186405545084972,
