source,sampling_method,mode,sampling_fraction,sample_fraction,threshold,fake_hit_threshold,speedup,speedup_pvalue,delta_mae_vs_baseline,delta_accuracy_vs_baseline,final_test_mae_mean,final_test_mae_std,final_test_accuracy_mean,final_test_accuracy_std,total_time_sec_mean,total_time_sec_std,mae_pvalue
baseline,,baseline_simple,,1.0,,,1.0,,0.0,0.0,0.34878253568429884,0.023257008781041588,0.6512174643157012,0.023257008781041574,39.498844265937805,9.270486472805446,
FEC,farthest_point,fec_simple_farthest_point,0.1,0.1,0.0,0.0,1.5761521212506595,1.188184614819677e-09,-0.012573467674223349,0.012573467674223293,0.3362090680100755,0.005221639786693464,0.6637909319899244,0.005221639786693493,25.060299531618753,4.373205355192157,0.007775719179946097
FEC,farthest_point,fec_simple_farthest_point,0.2,0.2,0.0,0.0,1.473090950875046,2.2315321215148663e-08,-0.011733837111670808,0.011733837111670753,0.33704869857262804,0.005161380897791312,0.6629513014273719,0.005161380897791319,26.81358149846395,4.171613117492472,0.012353956253469335
FEC,farthest_point,fec_simple_farthest_point,0.3,0.3,0.0,0.0,1.4385177468104902,6.192181808618907e-08,-0.011607892527287944,0.011607892527287889,0.3371746431570109,0.004571988871464078,0.662825356842989,0.0045719888714640744,27.458016665776572,3.8720845718971897,0.012907248450726133
FEC,farthest_point,fec_simple_farthest_point,0.4,0.4,0.0,0.0,1.4489948389594918,4.654826486518853e-08,-0.013371116708648156,0.013371116708648101,0.3354114189756507,0.0038148367672195295,0.6645885810243493,0.0038148367672194866,27.259478918711345,4.072547400305568,0.0046353198465147755
FEC,farthest_point,fec_simple_farthest_point,0.5,0.5,0.0,0.0,1.3778500678785324,9.257665129121388e-07,-0.01118807724601173,0.011188077246011674,0.3375944584382871,0.005344241934958521,0.6624055415617128,0.005344241934958538,28.667011880874632,5.328101363275425,0.0167215717663465
FEC,kmeans,fec_simple_kmeans,0.1,0.1,0.0,0.0,1.3971173558321237,1.1984714868341519e-06,-0.011817800167926051,0.011817800167925996,0.3369647355163728,0.006172890861756173,0.6630352644836272,0.006172890861756167,28.271672455469766,6.683092043873909,0.012407133265394268
FEC,kmeans,fec_simple_kmeans,0.2,0.2,0.0,0.0,1.320918259545457,7.22901236080078e-06,-0.013664987405541562,0.013664987405541451,0.3351175482787573,0.005027496143732287,0.6648824517212426,0.005027496143732333,29.90256511370341,5.235947152250828,0.004117398814265073
FEC,kmeans,fec_simple_kmeans,0.3,0.3,0.0,0.0,1.3412343475713662,2.44406876155855e-06,-0.011293031066330728,0.011293031066330728,0.3374895046179681,0.005355566282641321,0.6625104953820319,0.005355566282641276,29.449621788660686,4.589616487517882,0.01581757813009167
FEC,kmeans,fec_simple_kmeans,0.4,0.4,0.0,0.0,1.2897671306253569,1.4610303575898336e-05,-0.011041141897564999,0.011041141897564999,0.33774139378673385,0.005080458765609824,0.6622586062132662,0.0050804587656098415,30.624787473678587,4.084860358944792,0.017877265157649248
FEC,kmeans,fec_simple_kmeans,0.5,0.5,0.0,0.0,1.32390157377846,4.873213760890087e-06,-0.011397984886649837,0.011397984886649781,0.337384550797649,0.006330064130483623,0.6626154492023509,0.006330064130483606,29.835181895891825,4.664092495805424,0.015686202357565585
FEC,kmedoids,fec_simple_kmedoids,0.1,0.1,0.0,0.0,1.3480428516144132,1.6511921396023464e-06,-0.01391687657430729,0.01391687657430718,0.33486565910999155,0.0050369524223735935,0.6651343408900083,0.005036952422373569,29.30088180700938,4.2549460695647126,0.0035542363211660357
FEC,kmedoids,fec_simple_kmedoids,0.2,0.2,0.0,0.0,1.3325718809076466,3.5007683754386713e-06,-0.011356003358522215,0.01135600335852216,0.33742653232577663,0.004113600687793178,0.6625734676742233,0.004113600687793152,29.641060892740885,4.662724241000879,0.01455031718599143
FEC,kmedoids,fec_simple_kmedoids,0.3,0.3,0.0,0.0,1.3380697037753597,3.6507636777617445e-06,-0.012279596977329887,0.012279596977329832,0.33650293870696896,0.004542403283405162,0.663497061293031,0.004542403283405162,29.51927254199982,5.170412496417183,0.008894430852514321
FEC,kmedoids,fec_simple_kmedoids,0.4,0.4,0.0,0.0,1.350865054264654,2.4300170520716802e-06,-0.012300587741393698,0.012300587741393643,0.33648194794290515,0.005349145231559057,0.6635180520570948,0.005349145231559076,29.23966693878174,5.297648395333169,0.009116552394672142
FEC,kmedoids,fec_simple_kmedoids,0.5,0.5,0.0,0.0,1.297828608012913,1.3731422728442685e-05,-0.011985726280436537,0.011985726280436482,0.3367968094038623,0.004570253844422219,0.6632031905961376,0.00457025384442223,30.434561252593994,4.721088485745992,0.010486711717213373
FEC,stratified,fec_simple_stratified,0.1,0.1,0.0,0.0,1.5008697308350243,9.012124341049035e-09,-0.011439966414777458,0.011439966414777403,0.3373425692695214,0.005569043944452272,0.6626574307304786,0.00556904394445226,26.317303530375163,3.917284372466451,0.014762449746425271
FEC,stratified,fec_simple_stratified,0.2,0.2,0.0,0.0,1.4701957432441366,2.5557404504174443e-08,-0.012006717044500348,0.012006717044500292,0.3367758186397985,0.005033583471812542,0.6632241813602014,0.005033583471812544,26.86638459364573,4.318074200874264,0.010573533814561444
FEC,stratified,fec_simple_stratified,0.3,0.3,0.0,0.0,1.456890292618062,4.666954807339134e-08,-0.014315701091519695,0.014315701091519584,0.33446683459277915,0.0044401296379910134,0.6655331654072207,0.004440129637991,27.111749227841695,4.775986834863715,0.002727803673640628
FEC,stratified,fec_simple_stratified,0.4,0.4,0.0,0.0,1.4064654884483796,2.042560749287419e-07,-0.011943744752308916,0.01194374475230886,0.33683879093198993,0.00545440874289068,0.66316120906801,0.005454408742890681,28.08376358350118,4.262611948597826,0.011163790477143349
FEC,stratified,fec_simple_stratified,0.5,0.5,0.0,0.0,1.4439942722760735,5.150665410981927e-08,-0.010726280436607838,0.010726280436607838,0.338056255247691,0.005477945987803858,0.661943744752309,0.005477945987803858,27.353878768285117,3.8449605047234314,0.021459440743407793
