source,sampling_method,mode,sampling_fraction,sample_fraction,threshold,fake_hit_threshold,speedup,speedup_pvalue,delta_mae_vs_baseline,delta_accuracy_vs_baseline,final_test_mae_mean,final_test_mae_std,final_test_accuracy_mean,final_test_accuracy_std,total_time_sec_mean,total_time_sec_std
baseline,,baseline_simple,,1.0,,,,,0.0,0.0,0.07807017543859646,0.021409020477176004,0.9219298245614035,0.021409020477176,63.339635864893594,17.125037329171363
FEC,farthest_point,fec_simple_farthest_point,0.1,0.1,0.0,0.0,1.2377891567579478,0.0026661318802706207,0.002296124927703855,-0.002296124927703813,0.08036630036630031,0.007193303592841163,0.9196336996336997,0.0071933035928411935,51.17158727645874,14.767885199171646
FEC,farthest_point,fec_simple_farthest_point,0.1,0.1,0.01,0.01,1.2250449492550866,0.003963896043708755,0.0008309234625023809,-0.0008309234625023532,0.07890109890109884,0.006173438200082726,0.9210989010989011,0.006173438200082737,51.703928009668985,15.004994081502867
FEC,farthest_point,fec_simple_farthest_point,0.2,0.2,0.0,0.0,0.9412955440586501,0.7918788516678253,-0.004443801812222911,0.004443801812222925,0.07362637362637355,0.0048067764695455635,0.9263736263736264,0.0048067764695456025,67.28984989325205,19.53219471007724
FEC,farthest_point,fec_simple_farthest_point,0.2,0.2,0.01,0.01,0.9290875001012717,0.8055778940724079,-0.004077501445922532,0.00407750144592256,0.07399267399267392,0.005149094033935698,0.926007326007326,0.005149094033935715,68.17402651309968,24.580471110386256
FEC,farthest_point,fec_simple_farthest_point,0.3,0.3,0.0,0.0,0.9005670238779189,0.8955086235160296,-0.007007904376325466,0.00700790437632548,0.07106227106227099,0.0063275671448173275,0.928937728937729,0.006327567144817338,70.33306148846944,24.150789831195674
FEC,farthest_point,fec_simple_farthest_point,0.3,0.3,0.01,0.01,0.908396443844555,0.8506071748493322,-0.006348563716984806,0.006348563716984779,0.07172161172161165,0.005277268414198371,0.9282783882783883,0.005277268414198361,69.72686462402343,27.911444523695387
FEC,farthest_point,fec_simple_farthest_point,0.4,0.4,0.0,0.0,0.8265612135806187,0.9983503105846941,-0.008106805475226561,0.008106805475226575,0.0699633699633699,0.005295542965128521,0.9300366300366301,0.005295542965128545,76.63030254046122,15.864411563451183
FEC,farthest_point,fec_simple_farthest_point,0.4,0.4,0.01,0.01,0.8031180859544211,0.9835390321316965,-0.010011567379988456,0.010011567379988429,0.068058608058608,0.0053379402877499725,0.9319413919413919,0.005337940287749965,78.86715163389842,33.850912192294295
FEC,kmeans,fec_simple_kmeans,0.1,0.1,0.0,0.0,1.035348716798084,0.3594484403356333,0.00200308463466356,-0.0020030846346634767,0.08007326007326002,0.007348317676794591,0.91992673992674,0.0073483176767946065,61.17710374991099,27.230885353874523
FEC,kmeans,fec_simple_kmeans,0.1,0.1,0.01,0.01,1.029302530391038,0.36101486241265657,0.0037613263929053425,-0.003761326392905384,0.0818315018315018,0.005806063018629933,0.9181684981684981,0.005806063018629937,61.536461822191875,21.0780299273749
FEC,kmeans,fec_simple_kmeans,0.2,0.2,0.0,0.0,0.8722221102519836,0.9361456489186044,-0.0026122999807210723,0.0026122999807211,0.07545787545787538,0.005180269459242115,0.9245421245421246,0.005180269459242129,72.61870012283325,27.323652636706534
FEC,kmeans,fec_simple_kmeans,0.2,0.2,0.01,0.01,0.8163761182868173,0.9881164949950533,-0.005029882398303501,0.005029882398303487,0.07304029304029296,0.00434710731110527,0.926959706959707,0.004347107311105273,77.58634095986685,28.039423960621352
FEC,kmeans,fec_simple_kmeans,0.3,0.3,0.0,0.0,0.8566125616826286,0.968972024925739,-0.006055523423944512,0.006055523423944553,0.07201465201465194,0.00516002685800448,0.927985347985348,0.005160026858004486,73.94198812643687,24.556393870114707
FEC,kmeans,fec_simple_kmeans,0.3,0.3,0.01,0.01,0.8296723833775781,0.9870562175143154,-0.007593984962406056,0.007593984962406042,0.0704761904761904,0.006188633577126093,0.9295238095238095,0.006188633577126104,76.34294829368591,25.25496165200402
FEC,kmeans,fec_simple_kmeans,0.4,0.4,0.0,0.0,0.800497456101515,0.9950672582467311,-0.008253325621746715,0.008253325621746743,0.06981684981684974,0.004456838439342137,0.9301831501831502,0.004456838439342128,79.1253431002299,26.641593505379046
FEC,kmeans,fec_simple_kmeans,0.4,0.4,0.01,0.01,0.8172204600004039,0.989898713956319,-0.00935222672064781,0.009352226720647838,0.06871794871794865,0.0061100833588257734,0.9312820512820513,0.00611008335882576,77.50617974599203,26.776167826747955
