source,sampling_method,mode,sampling_fraction,sample_fraction,threshold,fake_hit_threshold,speedup,speedup_pvalue,delta_mae_vs_baseline,delta_accuracy_vs_baseline,final_test_mae_mean,final_test_mae_std,final_test_accuracy_mean,final_test_accuracy_std,total_time_sec_mean,total_time_sec_std,mae_pvalue
baseline,,baseline_simple,,1.0,,,1.0,,0.0,0.0,0.08070175438596487,0.027310630242890332,0.9192982456140351,0.027310630242890332,17.840008020401,8.139770114809213,
FEC,farthest_point,fec_simple_farthest_point,0.1,0.1,0.0,0.0,1.1428431323291972,0.12045207892137498,0.0023019086176980924,-0.0023019086176980785,0.08300366300366296,0.00756425777452978,0.916996336996337,0.0075642577745297715,19.506535919507346,7.222979022639897,0.6646154632029022
FEC,farthest_point,fec_simple_farthest_point,0.2,0.2,0.0,0.0,0.9950379211990644,0.5172284227558207,-0.005463659147869712,0.005463659147869726,0.07523809523809516,0.0058886700261124155,0.9247619047619048,0.005888670026112435,22.23933600584666,8.629325502613423,0.3002440889419372
FEC,farthest_point,fec_simple_farthest_point,0.3,0.3,0.0,0.0,0.8239934702214613,0.9467261590596174,-0.005317139001349544,0.005317139001349558,0.07538461538461533,0.006789513403134175,0.9246153846153846,0.006789513403134171,26.662231651941934,10.657308865720577,0.31642688030553123
FEC,farthest_point,fec_simple_farthest_point,0.4,0.4,0.0,0.0,0.8913841128613952,0.85044054569151,-0.007441681125891664,0.007441681125891719,0.07326007326007321,0.006650142545295372,0.9267399267399268,0.0066501425452953735,24.84653944969177,8.914761391866936,0.16350890505073723
FEC,farthest_point,fec_simple_farthest_point,0.5,0.5,0.0,0.0,0.8664802704291992,0.9133393754325767,-0.005610179294389839,0.005610179294389894,0.07509157509157503,0.005761521682353634,0.924908424908425,0.005761521682353626,25.640744853019715,8.170747424981629,0.28727072737647524
FEC,kmeans,fec_simple_kmeans,0.1,0.1,0.0,0.0,0.9923421298648255,0.5254203473860795,0.0017158280316175029,-0.0017158280316174057,0.08241758241758237,0.008392995778307415,0.9175824175824177,0.008392995778307405,22.467990056673685,9.547855673650883,0.7483460695273154
FEC,kmeans,fec_simple_kmeans,0.2,0.2,0.0,0.0,0.8127190062750735,0.9742593097732797,-0.004950838635049179,0.004950838635049193,0.07575091575091569,0.006779625084987132,0.9242490842490843,0.0067796250849871875,27.15397564570109,8.811772458121492,0.35038369354946336
FEC,kmeans,fec_simple_kmeans,0.3,0.3,0.0,0.0,0.9921004812247053,0.5267320534285647,-0.004144977829188379,0.004144977829188434,0.07655677655677649,0.008418535573448134,0.9234432234432235,0.008418535573448122,22.27182283401489,9.239372198285835,0.44010597722063804
FEC,kmeans,fec_simple_kmeans,0.4,0.4,0.0,0.0,0.8014676170178199,0.9704261843106516,-0.00795450163871221,0.007954501638712252,0.07274725274725266,0.009121099781081174,0.9272527472527473,0.009121099781081166,27.378489303588868,10.306149229791604,0.14568476160571917
FEC,kmeans,fec_simple_kmeans,0.5,0.5,0.0,0.0,0.8478527453883598,0.9307104728329314,-0.006196259880470456,0.006196259880470456,0.07450549450549442,0.00524257601840729,0.9254945054945055,0.005242576018407278,25.92917801539103,9.370898974312107,0.23923573955220434
