t1,t2,t3,t4,t5,t6,t7,t8,t9,target
0.9999999999999998,0.5,0.0,1.0,0.5,0.5,1.0,1.0,0.0,1
0.0,0.0,0.4999999999999999,1.0,1.0,1.0,0.5,0.0,0.0,1
0.9999999999999998,0.5,0.4999999999999999,0.0,1.0,1.0,0.0,0.5,0.9999999999999998,1
0.4999999999999999,1.0,0.4999999999999999,0.5,1.0,1.0,1.0,0.5,0.9999999999999998,0
0.0,0.5,0.9999999999999998,0.0,0.0,1.0,0.5,0.0,0.9999999999999998,1
0.9999999999999998,0.5,0.4999999999999999,0.0,0.5,1.0,1.0,0.5,0.9999999999999998,0
0.9999999999999998,0.0,0.4999999999999999,1.0,0.0,0.5,1.0,0.0,0.0,1
0.4999999999999999,1.0,0.0,0.5,1.0,0.5,1.0,1.0,0.0,1
0.9999999999999998,0.0,0.4999999999999999,0.5,1.0,0.5,0.0,1.0,0.9999999999999998,1
0.0,1.0,0.9999999999999998,0.5,0.5,0.5,1.0,0.0,0.0,0
0.4999999999999999,1.0,0.9999999999999998,1.0,1.0,0.5,0.5,0.5,0.9999999999999998,0
0.9999999999999998,0.5,0.9999999999999998,0.5,0.5,1.0,0.5,1.0,0.9999999999999998,1
0.4999999999999999,0.0,0.4999999999999999,1.0,1.0,1.0,1.0,0.0,0.4999999999999999,1
0.0,1.0,0.4999999999999999,1.0,1.0,1.0,0.5,0.5,0.0,1
0.4999999999999999,1.0,0.9999999999999998,0.0,1.0,1.0,0.5,0.5,0.4999999999999999,0
0.4999999999999999,0.0,0.0,1.0,0.5,1.0,1.0,0.0,0.4999999999999999,0
0.0,0.5,0.0,1.0,0.5,1.0,0.0,0.5,0.9999999999999998,0
0.0,1.0,0.9999999999999998,0.5,1.0,0.5,0.5,1.0,0.0,1
0.9999999999999998,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.9999999999999998,1
0.9999999999999998,0.5,0.0,0.5,1.0,1.0,0.5,0.0,0.9999999999999998,1
0.4999999999999999,1.0,0.9999999999999998,0.0,0.0,1.0,0.5,0.5,0.9999999999999998,1
0.4999999999999999,0.0,0.4999999999999999,0.5,1.0,0.0,1.0,1.0,0.9999999999999998,1
0.4999999999999999,1.0,0.9999999999999998,0.5,1.0,0.5,0.0,1.0,0.0,1
0.4999999999999999,0.0,0.9999999999999998,0.0,0.5,1.0,1.0,0.0,0.4999999999999999,0
0.4999999999999999,0.5,0.9999999999999998,0.5,1.0,1.0,1.0,0.5,0.9999999999999998,1
0.4999999999999999,1.0,0.4999999999999999,0.5,1.0,0.5,1.0,1.0,0.9999999999999998,1
0.0,1.0,0.4999999999999999,0.5,1.0,0.0,0.5,1.0,0.9999999999999998,1
0.9999999999999998,1.0,0.4999999999999999,1.0,0.5,0.5,1.0,0.0,0.0,1
0.4999999999999999,1.0,0.9999999999999998,0.5,1.0,0.5,1.0,0.0,0.0,1
0.4999999999999999,1.0,0.9999999999999998,0.5,0.5,1.0,1.0,0.5,0.9999999999999998,1
0.4999999999999999,0.0,0.9999999999999998,1.0,1.0,1.0,0.5,0.5,0.0,1
0.0,1.0,0.0,0.5,1.0,0.5,0.5,1.0,0.9999999999999998,1
0.4999999999999999,0.5,0.0,1.0,1.0,1.0,0.5,1.0,0.0,1
0.9999999999999998,0.5,0.4999999999999999,1.0,1.0,1.0,1.0,0.5,0.4999999999999999,1
0.0,1.0,0.0,0.5,1.0,1.0,0.5,1.0,0.4999999999999999,1
0.9999999999999998,1.0,0.4999999999999999,1.0,0.0,0.5,0.5,1.0,0.4999999999999999,0
0.9999999999999998,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.9999999999999998,1
0.9999999999999998,0.0,0.4999999999999999,0.0,1.0,1.0,0.5,0.5,0.9999999999999998,1
0.0,0.0,0.9999999999999998,0.5,1.0,1.0,0.5,0.5,0.9999999999999998,1
0.9999999999999998,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.4999999999999999,1
0.9999999999999998,1.0,0.4999999999999999,0.0,0.0,0.5,0.0,1.0,0.4999999999999999,0
0.0,0.0,0.9999999999999998,0.0,0.0,1.0,0.5,0.5,0.9999999999999998,1
0.4999999999999999,0.0,0.9999999999999998,0.5,1.0,0.5,1.0,0.0,0.9999999999999998,1
0.9999999999999998,0.5,0.4999999999999999,1.0,0.0,1.0,1.0,0.0,0.4999999999999999,1
0.9999999999999998,0.0,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1
0.9999999999999998,1.0,0.9999999999999998,0.5,0.5,1.0,1.0,0.5,0.4999999999999999,1
0.4999999999999999,0.0,0.9999999999999998,1.0,1.0,0.5,1.0,0.0,0.4999999999999999,1
0.0,0.5,0.9999999999999998,0.5,1.0,1.0,0.5,0.0,0.9999999999999998,1
0.4999999999999999,1.0,0.0,0.0,0.5,0.5,1.0,1.0,0.9999999999999998,1
