Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Attribute 9,target
0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0
1.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,1.0,0.0,0
0.0,1.0,0.9999999999999998,1.0,0.0,0.0,0.0,1.0,1.0,0
1.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,1.0,0.9999999999999998,0.0,0.0,1.0,0.9999999999999998,1.0,1.0,1
0.0,1.0,0.0,1.0,0.0,0.0,0.9999999999999998,1.0,0.0,0
0.0,1.0,0.9999999999999998,1.0,0.9999999999999999,0.0,0.9999999999999998,1.0,1.0,1
1.0,1.0,0.9999999999999998,1.0,0.9999999999999999,0.0,0.9999999999999998,1.0,1.0,1
0.0,1.0,0.0,1.0,0.0,1.0,0.9999999999999998,1.0,1.0,1
1.0,1.0,0.9999999999999998,1.0,0.0,1.0,0.9999999999999998,0.0,0.0,1
0.0,0.0,0.9999999999999998,1.0,0.0,1.0,0.0,0.0,1.0,0
1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0
0.0,1.0,0.9999999999999998,0.0,0.0,1.0,0.9999999999999998,1.0,0.0,0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
1.0,1.0,0.9999999999999998,1.0,0.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,1.0,0.9999999999999999,1.0,0.9999999999999998,0.0,1.0,1
0.0,0.0,0.0,1.0,0.9999999999999999,1.0,0.9999999999999998,0.0,0.0,1
0.0,0.0,0.9999999999999998,1.0,0.9999999999999999,0.0,0.9999999999999998,1.0,1.0,1
1.0,0.0,0.0,0.0,0.9999999999999999,1.0,0.9999999999999998,1.0,1.0,1
0.0,0.0,0.0,0.0,0.9999999999999999,1.0,0.9999999999999998,0.0,0.0,0
0.0,0.0,0.9999999999999998,0.0,0.9999999999999999,0.0,0.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0.9999999999999999,1.0,0.9999999999999998,0.0,1.0,1
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
0.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,1.0,0.0,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1.0,1.0,0.9999999999999998,1.0,0.0,0.0,0.0,1.0,0.0,1
0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999998,1.0,1.0,1
1.0,0.0,0.9999999999999998,0.0,0.9999999999999999,1.0,0.9999999999999998,0.0,1.0,0
0.0,1.0,0.9999999999999998,0.0,0.0,1.0,0.0,1.0,1.0,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
