Judge,Official,Round,target
0.2,1.0,0.0,1
0.2,1.0,0.09090909090909088,0
0.2,1.0,0.18181818181818182,1
0.2,1.0,0.2727272727272727,0
0.2,1.0,0.3636363636363636,1
0.2,1.0,0.4545454545454545,1
0.2,1.0,0.5454545454545454,1
0.2,1.0,0.6363636363636362,0
0.2,1.0,0.7272727272727272,1
0.2,1.0,0.8181818181818181,0
0.2,1.0,0.909090909090909,0
0.2,1.0,0.9999999999999999,0
0.09999999999999998,1.0,0.0,0
0.09999999999999998,1.0,0.09090909090909088,0
0.09999999999999998,1.0,0.18181818181818182,1
0.09999999999999998,1.0,0.2727272727272727,0
0.09999999999999998,1.0,0.3636363636363636,1
0.09999999999999998,1.0,0.4545454545454545,1
0.09999999999999998,1.0,0.5454545454545454,0
0.09999999999999998,1.0,0.6363636363636362,1
0.09999999999999998,1.0,0.7272727272727272,0
0.09999999999999998,1.0,0.8181818181818181,0
0.09999999999999998,1.0,0.909090909090909,0
0.09999999999999998,1.0,0.9999999999999999,1
0.4,1.0,0.0,0
0.4,1.0,0.09090909090909088,0
0.4,1.0,0.18181818181818182,1
0.4,1.0,0.2727272727272727,0
0.4,1.0,0.3636363636363636,1
0.4,1.0,0.4545454545454545,1
0.4,1.0,0.5454545454545454,1
0.4,1.0,0.6363636363636362,1
0.4,1.0,0.7272727272727272,0
0.4,1.0,0.8181818181818181,0
0.4,1.0,0.909090909090909,0
0.4,1.0,0.9999999999999999,0
0.3,0.0,0.0,1
0.3,0.0,0.09090909090909088,1
0.3,0.0,0.18181818181818182,1
0.3,0.0,0.2727272727272727,0
0.3,0.0,0.3636363636363636,1
0.3,0.0,0.4545454545454545,0
0.3,0.0,0.5454545454545454,1
0.3,0.0,0.6363636363636362,1
0.3,0.0,0.7272727272727272,0
0.3,0.0,0.8181818181818181,0
0.3,0.0,0.909090909090909,0
0.3,0.0,0.9999999999999999,0
0.8,0.0,0.0,0
0.8,0.0,0.09090909090909088,1
0.8,0.0,0.18181818181818182,1
0.8,0.0,0.2727272727272727,0
0.8,0.0,0.3636363636363636,1
0.8,0.0,0.4545454545454545,1
0.8,0.0,0.5454545454545454,1
0.8,0.0,0.6363636363636362,1
0.8,0.0,0.7272727272727272,1
0.8,0.0,0.8181818181818181,0
0.8,0.0,0.909090909090909,1
0.8,0.0,0.9999999999999999,0
0.6,0.0,0.0,1
0.6,0.0,0.09090909090909088,0
0.6,0.0,0.18181818181818182,1
0.6,0.0,0.2727272727272727,0
0.6,0.0,0.3636363636363636,1
0.6,0.0,0.4545454545454545,1
0.6,0.0,0.5454545454545454,1
0.6,0.0,0.6363636363636362,1
0.6,0.0,0.7272727272727272,1
0.6,0.0,0.8181818181818181,0
0.6,0.0,0.909090909090909,0
0.6,0.0,0.9999999999999999,0
0.9,0.0,0.0,1
0.9,0.0,0.09090909090909088,1
0.9,0.0,0.18181818181818182,1
0.9,0.0,0.2727272727272727,0
0.9,0.0,0.3636363636363636,1
0.9,0.0,0.4545454545454545,1
0.9,0.0,0.5454545454545454,0
0.9,0.0,0.6363636363636362,1
0.9,0.0,0.7272727272727272,1
0.9,0.0,0.8181818181818181,0
0.9,0.0,0.909090909090909,0
0.9,0.0,0.9999999999999999,0
0.0,0.0,0.0,1
0.0,0.0,0.09090909090909088,0
0.0,0.0,0.18181818181818182,1
0.0,0.0,0.2727272727272727,1
0.0,0.0,0.3636363636363636,1
0.0,0.0,0.4545454545454545,1
0.0,0.0,0.5454545454545454,0
0.0,0.0,0.6363636363636362,1
0.0,0.0,0.7272727272727272,1
0.0,0.0,0.8181818181818181,0
0.0,0.0,0.909090909090909,0
0.0,0.0,0.9999999999999999,0
0.5,0.0,0.0,1
0.5,0.0,0.09090909090909088,0
0.5,0.0,0.18181818181818182,1
0.5,0.0,0.2727272727272727,0
0.5,0.0,0.3636363636363636,1
0.5,0.0,0.4545454545454545,1
0.5,0.0,0.5454545454545454,1
0.5,0.0,0.6363636363636362,1
0.5,0.0,0.7272727272727272,1
0.5,0.0,0.8181818181818181,1
0.5,0.0,0.909090909090909,0
0.5,0.0,0.9999999999999999,0
0.7,0.0,0.0,1
0.7,0.0,0.09090909090909088,1
0.7,0.0,0.18181818181818182,1
0.7,0.0,0.2727272727272727,0
0.7,0.0,0.3636363636363636,1
0.7,0.0,0.4545454545454545,1
0.7,0.0,0.5454545454545454,0
0.7,0.0,0.6363636363636362,1
0.7,0.0,0.7272727272727272,1
0.7,0.0,0.8181818181818181,0
0.7,0.0,0.909090909090909,0
0.7,0.0,0.9999999999999999,0
1.0,0.0,0.0,1
1.0,0.0,0.09090909090909088,0
1.0,0.0,0.18181818181818182,1
1.0,0.0,0.2727272727272727,0
1.0,0.0,0.3636363636363636,0
1.0,0.0,0.4545454545454545,1
1.0,0.0,0.5454545454545454,1
1.0,0.0,0.6363636363636362,1
1.0,0.0,0.7272727272727272,0
1.0,0.0,0.8181818181818181,0
1.0,0.0,0.909090909090909,0
1.0,0.0,0.9999999999999999,0
