source,sampling_method,mode,sampling_fraction,sample_fraction,threshold,fake_hit_threshold,speedup,speedup_pvalue,delta_mae_vs_baseline,delta_accuracy_vs_baseline,final_test_mae_mean,final_test_mae_std,final_test_accuracy_mean,final_test_accuracy_std,total_time_sec_mean,total_time_sec_std,mae_pvalue
baseline,,baseline_simple,,1.0,,,1.0,,0.0,0.0,0.3903453136011275,0.019821227759790908,0.6096546863988724,0.019821227759790942,36.8905143737793,7.971912280028955,
FEC,farthest_point,fec_simple_farthest_point,0.1,0.1,0.0,0.0,1.4263490549627935,3.517665792857102e-08,-0.018596592937637157,0.018596592937637157,0.37174872066349035,0.006844768422279019,0.6282512793365096,0.006844768422279038,31.34466462135315,5.259465715118556,3.006327802785885e-05
FEC,farthest_point,fec_simple_farthest_point,0.2,0.2,0.0,0.0,1.471787883437105,3.4128692265612157e-08,-0.017908398125567215,0.017908398125567326,0.3724369154755603,0.006638375807837434,0.6275630845244398,0.006638375807837447,29.69241586526235,6.8797731583570645,5.0097149198005084e-05
FEC,farthest_point,fec_simple_farthest_point,0.3,0.3,0.0,0.0,1.33865296199583,9.773872393150238e-07,-0.01921420366641785,0.019214203666417795,0.37113110993470966,0.005709680831444497,0.6288688900652902,0.005709680831444514,32.00481550693512,4.8961278214926605,1.662051026322957e-05
FEC,farthest_point,fec_simple_farthest_point,0.4,0.4,0.0,0.0,1.2583751938843113,2.9798876064605213e-05,-0.017573123729943463,0.017573123729943463,0.37277218987118405,0.00619184261850105,0.6272278101288159,0.006191842618501053,33.73622674942017,4.860999977552009,6.189806996891887e-05
FEC,kmeans,fec_simple_kmeans,0.1,0.1,0.0,0.0,1.2046399023680503,0.0006619500805067747,-0.017026097084452074,0.01702609708445213,0.37331921651667543,0.007026219173334908,0.6266807834833246,0.007026219173334912,33.220280051231384,5.918792371339718,0.00010334140667804835
FEC,kmeans,fec_simple_kmeans,0.2,0.2,0.0,0.0,1.315450065771888,6.629038810186013e-06,-0.01692022095951823,0.016920220959518284,0.3734250926416093,0.004212042702759323,0.6265749073583907,0.004212042702759339,30.23881368637085,5.909838230693485,8.717589557990336e-05
FEC,kmeans,fec_simple_kmeans,0.3,0.3,0.0,0.0,1.1938292299942246,0.0005484517671050165,-0.018455424771058715,0.01845542477105877,0.3718898888300688,0.007095477918610847,0.6281101111699312,0.007095477918610854,33.25234843889872,4.600382829071213,3.4563632918546045e-05
FEC,kmeans,fec_simple_kmeans,0.4,0.4,0.0,0.0,1.1601767864013206,0.004553336598553344,-0.02032590297822301,0.02032590297822312,0.3700194106229045,0.004925389751130926,0.6299805893770956,0.004925389751130972,34.207671459515886,6.281777437152535,6.636744297500163e-06
FEC,kmedoids,fec_simple_kmedoids,0.1,0.1,0.0,0.0,1.1887293054581693,0.0010895567803011876,-0.017908398125567215,0.017908398125567326,0.3724369154755603,0.005945007005963112,0.6275630845244398,0.005945007005963104,33.59398686091105,5.767153426778073,4.6669504358152895e-05
FEC,kmedoids,fec_simple_kmedoids,0.2,0.2,0.0,0.0,1.283145354842355,1.1578944608734909e-05,-0.01750253964665427,0.01750253964665438,0.37284277395447324,0.006063892726965806,0.6271572260455268,0.006063892726965793,31.023941612243654,4.857968912665795,6.452986907063405e-05
FEC,kmedoids,fec_simple_kmedoids,0.3,0.3,0.0,0.0,1.144490174670113,0.008051939104809289,-0.018420132729414118,0.018420132729414118,0.3719251808717134,0.005692886371225501,0.6280748191282866,0.005692886371225512,34.563337747255964,6.182756048227947,3.07217499096044e-05
FEC,kmedoids,fec_simple_kmedoids,0.4,0.4,0.0,0.0,1.2531615987721225,0.00019294685874483183,-0.019725938270264642,0.019725938270264698,0.37061937533086287,0.005664372683959784,0.6293806246691371,0.0056643726839597855,31.883780090014138,6.9587684380960315,1.1123024956856274e-05
FEC,stratified,fec_simple_stratified,0.1,0.1,0.0,0.0,1.4818582311469521,7.227386192286286e-09,-0.017308433417608904,0.017308433417609015,0.3730368801835186,0.006353057644365387,0.6269631198164815,0.006353057644365387,30.288692728678384,5.8032590246747455,7.713474952670307e-05
FEC,stratified,fec_simple_stratified,0.2,0.2,0.0,0.0,1.3819221175112566,2.897185060773464e-07,-0.017784875979811154,0.017784875979811154,0.37256043762131635,0.007057106814891788,0.6274395623786836,0.007057106814891796,31.66005423069,5.800721678493063,5.786388370316453e-05
FEC,stratified,fec_simple_stratified,0.3,0.3,0.0,0.0,1.339086440825973,2.030013476153134e-06,-0.019037743458194756,0.019037743458194756,0.37130757014293275,0.006113677768510175,0.6286924298570672,0.006113677768510166,32.273970222473146,5.993413902357567,1.975881728239521e-05
FEC,stratified,fec_simple_stratified,0.4,0.4,0.0,0.0,1.2536166397033346,3.7588926568725425e-05,-0.01817308843790183,0.018173088437901885,0.3721722251632257,0.00400953163148929,0.6278277748367743,0.004009531631489299,33.978547596931456,4.864118156480169,3.312327749187134e-05
