mode,sample_fraction,run,gen,phenotype,phenotype_in_cache,hit,fitness_cached,fitness_full_train,fake_hit,fitness_diff
farthest_point,0.1,1,0,x[4],,False,,0.6929824561403508,False,0.0
farthest_point,0.1,1,0,"greater_than_or_equal(x[3], x[0])",,False,,0.293859649122807,False,0.0
farthest_point,0.1,1,0,"and_(and_(greater_than_or_equal(x[7], x[0]),less_than_or_equal(x[7],x[2])),x[6])",,False,,0.3070175438596491,False,0.0
farthest_point,0.1,1,0,"and_(less_than_or_equal(mul(x[3],x[7]),add(x[2],x[2])),greater_than_or_equal(sub(x[7],x[5]), sub(x[5],x[5])))",,False,,0.5964912280701755,False,0.0
farthest_point,0.1,1,0,"not_(not_(less_than_or_equal(x[0],x[3])))","greater_than_or_equal(x[3], x[0])",True,0.293859649122807,,,
farthest_point,0.1,1,0,"not_(not_(less_than_or_equal(x[7],x[2])))",,False,,0.4298245614035088,False,0.0
farthest_point,0.1,1,0,"less_than_or_equal(mul(add(x[3],x[7]),pdiv(x[5],x[3])),add(sub(x[5],x[3]),add(x[2],x[3])))",,False,,0.6271929824561404,False,0.0
farthest_point,0.1,1,0,"greater_than_or_equal(pdiv(add(x[3],x[5]),add(x[0],x[2])), pdiv(pdiv(x[2],x[5]),mul(x[3],x[5])))",,False,,0.2982456140350877,False,0.0
farthest_point,0.1,1,0,"not_(greater_than_or_equal(mul(x[2],x[7]), pdiv(x[5],x[7])))",,False,,0.5350877192982456,False,0.0
farthest_point,0.1,1,0,"greater_than_or_equal(sub(mul(x[0],x[2]),add(x[2],x[5])), sub(add(x[5],x[5]),add(x[7],x[3])))",,False,,0.4342105263157895,False,0.0
farthest_point,0.1,1,0,"not_(not_(greater_than_or_equal(x[5], x[2])))",,False,,0.4824561403508771,False,0.0
farthest_point,0.1,1,0,"greater_than_or_equal(mul(sub(x[3],x[2]),add(x[3],x[2])), pdiv(mul(x[0],x[0]),add(x[3],x[0])))",,False,,0.2894736842105263,False,0.0
farthest_point,0.1,1,0,"and_(greater_than_or_equal(sub(x[3],x[5]), sub(x[0],x[7])),greater_than_or_equal(sub(x[0],x[3]), pdiv(x[2],x[7])))",,False,,0.3245614035087719,False,0.0
farthest_point,0.1,1,0,"or_(less_than_or_equal(sub(x[0],x[5]),pdiv(x[2],x[0])),or_(less_than_or_equal(x[3],x[3]),greater_than_or_equal(x[5], x[3])))",,False,,0.706140350877193,False,0.0
