Age,Income.per.dependent,Monthly.credit.card.exp,Own.home,Self.employed,Derogatory.reports,target
0.5142857142857143,0.35529411764705876,0.06584722053919065,1.0,0.0,0.0,1
0.3714285714285715,0.10823529411764705,0.005189591313098305,0.0,0.0,0.0,1
0.4000000000000001,0.3529411764705882,0.007902930933652269,1.0,0.0,0.0,1
0.31428571428571433,0.1223529411764706,0.07263847252150915,0.0,0.0,0.0,1
0.3428571428571429,0.9752941176470588,0.287930117016064,1.0,0.0,0.0,1
0.08571428571428569,0.11764705882352941,0.048471309726400534,0.0,0.0,0.0,1
0.2285714285714286,0.28941176470588237,0.021511778001401444,0.0,0.0,0.0,1
0.2571428571428572,0.1023529411764706,0.07944553036569496,1.0,0.0,0.0,1
0.48571428571428577,0.27058823529411763,0.4098038492542268,1.0,0.0,0.0,1
0.2285714285714286,0.2,0.027702407232762377,0.0,0.0,0.0,1
0.31428571428571433,0.2882352941176471,0.13522441689541265,1.0,0.0,0.0,1
0.6285714285714287,0.056470588235294106,0.0,1.0,0.0,0.0,0
0.28571428571428575,0.027058823529411746,0.0,1.0,0.0,0.0,0
0.2571428571428572,0.11176470588235296,0.041553610849143593,1.0,0.0,0.0,1
0.4285714285714286,0.048235294117647015,0.022454861092817288,1.0,0.0,0.0,1
0.6000000000000001,0.2,0.17672534153833186,1.0,0.0,0.0,1
0.5714285714285715,0.29411764705882354,0.13104113212119936,1.0,0.0,0.0,1
0.28571428571428575,0.1764705882352941,0.0,1.0,0.0,0.9999999999999999,0
0.5714285714285715,1.0,0.28873621597129656,1.0,1.0,0.0,1
0.7428571428571429,0.22352941176470587,0.0,0.0,0.0,0.4285714285714286,0
0.4285714285714286,0.09999999999999999,0.022834201777632596,1.0,0.0,0.0,1
0.14285714285714285,0.04470588235294115,0.0,0.0,0.0,0.14285714285714285,0
0.4000000000000001,0.05882352941176469,0.11512989784144614,1.0,0.0,0.0,1
0.4571428571428572,0.29411764705882354,0.08990374230122812,0.0,0.0,0.14285714285714285,1
0.6571428571428573,0.42823529411764705,0.019799476299110136,1.0,0.0,0.0,1
0.28571428571428575,0.35411764705882354,0.2645901276586777,0.0,0.0,0.0,1
0.057142857142857106,0.2752941176470588,0.0,0.0,1.0,0.0,0
0.057142857142857106,0.0,0.03855576571497817,0.0,0.0,0.0,1
0.4000000000000001,0.11764705882352941,0.0,1.0,0.0,0.0,0
0.5714285714285715,0.47058823529411764,0.8075583631449452,1.0,0.0,0.0,1
0.057142857142857106,0.062352941176470555,0.022491741437174334,0.0,0.0,0.0,1
0.2571428571428572,0.2,0.22013877546719496,0.0,0.0,0.14285714285714285,1
