N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,P1,P2,target
1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.49999999999999994,0.5,0.0,0.0,0.0,0.5000000000000001,1
0.49999999999999994,0.0,0.5,0.0,0.0,0.5,0.5000000000000001,0.5000000000000001,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,1
0.49999999999999994,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,1.0,1
0.49999999999999994,0.0,1.0,1.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1
1.0,0.0,1.0,0.5,0.4999999999999999,0.0,0.5000000000000001,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,1
0.49999999999999994,0.0,0.0,0.5,0.0,1.0,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1
0.49999999999999994,0.0,0.0,1.0,0.0,0.0,0.5000000000000001,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.49999999999999994,0.0,0.5,0.0,0.5,0.0,1
0.49999999999999994,0.0,0.5,1.0,0.0,0.0,0.5000000000000001,0.5000000000000001,0.5,0.0,0.5,0.0,0.0,0.5,0.49999999999999994,0.0,0.5,0.0,0.5,0.5000000000000001,1
1.0,0.5000000000000001,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1
1.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.49999999999999994,1.0,0.49999999999999994,0.0,1.0,0.5,0.0,0.0,1
0.49999999999999994,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.49999999999999994,0.5,1.0,0.5,0.0,0.0,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.49999999999999994,0.5,0.49999999999999994,0.5,1.0,0.0,0.5,0.0,1
0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1
0.49999999999999994,0.0,0.0,1.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.0,1.0,0.0,0.0,0.5,0.49999999999999994,0.0,0.5,0.0,0.9999999999999999,0.5000000000000001,1
0.49999999999999994,0.0,0.0,0.0,0.0,0.5,0.5000000000000001,0.5000000000000001,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1
0.49999999999999994,0.5000000000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.49999999999999994,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1
1.0,0.0,0.5,0.5,0.0,0.5,0.5000000000000001,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1
0.0,0.5000000000000001,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.49999999999999994,0.5,0.0,0.0,0.5,0.5000000000000001,1
0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.5,0.5000000000000001,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1
0.0,0.0,0.0,1.0,0.0,0.5,0.5000000000000001,0.5000000000000001,0.5,0.0,0.5,0.0,0.0,1.0,0.49999999999999994,0.0,0.5,0.0,0.5,0.0,1
0.0,0.0,0.5,0.5,0.0,0.0,0.5000000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.0,1
0.49999999999999994,0.0,0.5,1.0,0.0,0.0,0.5000000000000001,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.49999999999999994,0.0,0.0,0.5,0.0,0.0,1
0.0,0.5000000000000001,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.5000000000000001,1
0.49999999999999994,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.49999999999999994,0.0,0.5,0.0,0.5,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.49999999999999994,0.5,0.5,0.0,0.0,0.0,1
0.49999999999999994,0.0,0.5,1.0,0.0,1.0,0.5000000000000001,1.0,0.5,0.5,0.0,0.5,0.0,1.0,0.49999999999999994,0.5,0.0,0.5,0.5,0.0,1
1.0,0.5000000000000001,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0.5000000000000001,1
0.0,0.0,0.0,0.5,0.0,1.0,0.5000000000000001,0.5000000000000001,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.5000000000000001,1
1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5000000000000001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.49999999999999994,0.5000000000000001,0.0,1.0,0.0,0.5,0.5000000000000001,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.49999999999999994,0.0,0.5,0.0,0.5,0.0,1
0.49999999999999994,0.0,0.0,0.5,0.0,1.0,0.5000000000000001,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,1
0.49999999999999994,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.0,1.0,0.49999999999999994,0.5,0.49999999999999994,0.5,0.0,0.5,0.0,0.5000000000000001,1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.0,1.0,0.5,0.0,0.5,0.49999999999999994,0.0,0.5,0.5,0.5,0.0,1
0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,1
1.0,0.0,0.5,0.5,0.0,0.0,0.5000000000000001,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.5000000000000001,1
0.0,0.5000000000000001,0.5,1.0,0.0,0.5,0.0,0.5000000000000001,0.0,0.0,0.5,0.5,0.49999999999999994,0.5,0.49999999999999994,0.0,0.5,0.0,0.0,0.0,1
1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.49999999999999994,0.5,0.5,0.0,0.0,0.0,1
1.0,0.0,0.0,0.5,0.0,0.0,0.5000000000000001,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5000000000000001,1
0.49999999999999994,0.5000000000000001,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.49999999999999994,0.5,0.49999999999999994,0.5,0.0,0.0,0.0,0.5000000000000001,1
0.49999999999999994,0.0,0.0,1.0,0.4999999999999999,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.49999999999999994,0.5,0.0,0.0,0.5,0.5000000000000001,1
0.0,0.0,0.5,0.0,0.0,1.0,0.5000000000000001,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.49999999999999994,0.5,0.5,0.0,0.0,0.5000000000000001,1
1.0,0.0,0.0,0.5,0.0,0.0,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.5,0.0,0.5000000000000001,1
0.49999999999999994,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.49999999999999994,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1
0.49999999999999994,0.5000000000000001,1.0,0.0,0.0,0.5,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,1
0.0,0.0,0.0,1.0,0.4999999999999999,0.0,1.0,0.5000000000000001,0.0,0.9999999999999999,0.5,0.0,0.0,0.0,0.49999999999999994,0.5,0.5,0.5,0.0,0.5000000000000001,1
