mode,sample_fraction,fake_hit_threshold,final_test_mae_mean,final_test_accuracy_mean,total_time_sec_mean,total_time_fair_sec_mean,total_wall_time_sec_mean,fake_eval_time_sec_mean,hits_mean,misses_mean,hit_rate_overall_mean,fake_hits_mean,final_test_mae_std,final_test_accuracy_std,total_time_sec_std,total_time_fair_sec_std,total_wall_time_sec_std,fake_eval_time_sec_std,hits_std,misses_std,hit_rate_overall_std,fake_hits_std,fake_hit_rate_overall_mean
fec_simple_farthest_point,0.1,0.0,0.08036630036630031,0.9196336996336997,51.17158727645874,51.17158727645874,52.07997696456926,0.0,201665.16666666666,1582.6,0.9922074082338329,0.0,0.007193303592841163,0.0071933035928411935,14.767885199171646,14.767885199171646,14.789526599992028,0.0,3273.49855743905,326.9113641340723,0.0016333580220867937,0.0,0.0
fec_simple_farthest_point,0.1,0.01,0.07890109890109884,0.9210989010989011,51.703928009668985,51.703928009668985,52.700976483661606,0.0,201842.93333333332,1526.5666666666666,0.9924921183055475,0.0,0.006173438200082726,0.006173438200082737,15.004994081502867,15.004994081502867,15.024093919114776,0.0,2787.341049977353,260.0762302778852,0.0012860649843435645,0.0,0.0
fec_simple_farthest_point,0.2,0.0,0.07362637362637355,0.9263736263736264,67.28984989325205,67.28984989325205,68.65423605006654,0.0,198576.2,2982.3,0.9852005794640875,0.0,0.0048067764695455635,0.0048067764695456025,19.53219471007724,19.53219471007724,19.55539603938057,0.0,2122.468537654525,424.2645519012871,0.002127387542562634,0.0,0.0
fec_simple_farthest_point,0.2,0.01,0.07399267399267392,0.926007326007326,68.17402651309968,68.17402651309968,69.60036515709362,0.0,199874.8,2956.633333333333,0.9854181878990665,0.0,0.005149094033935698,0.005149094033935715,24.580471110386256,24.580471110386256,24.646170919866865,0.0,2732.018013605813,420.49522259143714,0.0020900405707805357,0.0,0.0
fec_simple_farthest_point,0.3,0.0,0.07106227106227099,0.928937728937729,70.33306148846944,70.33306148846944,72.42539008400247,0.0,199118.33333333334,3877.7,0.9808984808399902,0.0,0.0063275671448173275,0.006327567144817338,24.150789831195674,24.150789831195674,24.171895347983728,0.0,2646.3518956396497,801.5908411818755,0.003929053762504675,0.0,0.0
fec_simple_farthest_point,0.3,0.01,0.07172161172161165,0.9282783882783883,69.72686462402343,69.72686462402343,71.82163884360732,0.0,199001.16666666666,3948.6666666666665,0.9805298450820106,0.0,0.005277268414198371,0.005277268414198361,27.911444523695387,27.911444523695387,27.9236833720524,0.0,3427.3873634138386,720.3696427683653,0.003614917807247188,0.0,0.0
fec_simple_farthest_point,0.4,0.0,0.0699633699633699,0.9300366300366301,76.63030254046122,76.63030254046122,79.8293113080707,0.0,198619.7,4949.0,0.9756832787520098,0.0,0.005295542965128521,0.005295542965128545,15.864411563451183,15.864411563451183,15.566941423071968,0.0,3526.3553247888476,1049.165636748237,0.005200139113962044,0.0,0.0
fec_simple_farthest_point,0.4,0.01,0.068058608058608,0.9319413919413919,78.86715163389842,78.86715163389842,81.76774346010448,0.0,197545.23333333334,5120.266666666666,0.9747356409585609,0.0,0.0053379402877499725,0.005337940287749965,33.850912192294295,33.850912192294295,33.74609854528105,0.0,4010.9752071313296,946.2190350136814,0.004633251253745267,0.0,0.0
fec_simple_kmeans,0.1,0.0,0.08007326007326002,0.91992673992674,61.17710374991099,61.17710374991099,63.046832496696155,0.0,202187.33333333334,987.3666666666667,0.9951355955228655,0.0,0.007348317676794591,0.0073483176767946065,27.230885353874523,27.230885353874523,27.575202765952575,0.0,3254.057122355959,259.851173216944,0.0013005584818730836,0.0,0.0
fec_simple_kmeans,0.1,0.01,0.0818315018315018,0.9181684981684981,61.536461822191875,61.536461822191875,63.40073507853667,0.0,201194.1,946.1333333333333,0.9953098448547906,0.0,0.005806063018629933,0.005806063018629937,21.0780299273749,21.0780299273749,21.395045227335064,0.0,3271.3796513601637,230.8853587581701,0.0011791358958559046,0.0,0.0
