mode,sample_fraction,fake_hit_threshold,final_test_mae_mean,final_test_accuracy_mean,total_time_sec_mean,total_time_fair_sec_mean,total_wall_time_sec_mean,fake_eval_time_sec_mean,hits_mean,misses_mean,hit_rate_overall_mean,fake_hits_mean,final_test_mae_std,final_test_accuracy_std,total_time_sec_std,total_time_fair_sec_std,total_wall_time_sec_std,fake_eval_time_sec_std,hits_std,misses_std,hit_rate_overall_std,fake_hits_std,fake_hit_rate_overall_mean
fec_simple_farthest_point,0.1,0.0,0.09013426736719202,0.9098657326328079,8.854604117075603,8.854604117075603,9.492328073891501,0.0,38839.1,409.26666666666665,0.9896536067399105,0.0,0.010476049601132574,0.010476049601132582,4.862563398952795,4.862563398952795,4.875717532536975,0.0,934.3534431181108,268.23496333542266,0.006638295653374851,0.0,0.0
fec_simple_farthest_point,0.2,0.0,0.08698190309398711,0.9130180969060129,10.016430719693501,10.016430719693501,11.725214598483095,0.0,38496.4,707.9333333333333,0.9820202370618881,0.0,0.009837886483568424,0.009837886483568438,6.4029570830806835,6.4029570830806835,6.4191880825555385,0.0,1084.7098413861654,457.5494824484985,0.011570124803034489,0.0,0.0
fec_simple_farthest_point,0.3,0.0,0.10245183887915933,0.8975481611208406,6.8991483847300215,6.8991483847300215,10.34670264578114,0.0,38442.566666666666,571.8,0.9855053001157263,0.0,0.025289152690242567,0.025289152690242563,4.027640826963942,4.027640826963942,4.014498428257817,0.0,819.8036628093065,727.0299581172706,0.018071875490266606,0.0,0.0
fec_simple_farthest_point,0.4,0.0,0.08698190309398712,0.9130180969060129,8.373703225453694,8.373703225453694,14.672245932851608,0.0,38243.2,884.2666666666667,0.977588632539906,0.0,0.007823404818564373,0.007823404818564389,4.64914437596853,4.64914437596853,4.633640350740874,0.0,940.8588771259296,821.3693417431377,0.020640296127961463,0.0,0.0
fec_simple_farthest_point,0.5,0.0,0.09486281377699937,0.9051371862230007,8.613885728518168,8.613885728518168,18.26926718899049,0.0,38338.6,828.5666666666667,0.9790261216790697,0.0,0.017496099907350522,0.017496099907350567,5.312569340111424,5.312569340111424,5.34791484128499,0.0,1014.6089098761175,788.731668918876,0.01963311625061946,0.0,0.0
fec_simple_kmeans,0.1,0.0,0.09912434325744304,0.9008756567425569,9.991238435109457,9.991238435109457,18.905832366862644,0.0,38943.86666666667,258.4,0.9934410232849733,0.0,0.023546755530207943,0.023546755530207977,6.927648082732669,6.927648082732669,6.067579543291645,0.0,922.8497795175309,205.0213972572944,0.005144788686982694,0.0,0.0
fec_simple_kmeans,0.2,0.0,0.09095154699357846,0.9090484530064216,9.378177936871847,9.378177936871847,19.000103561704357,0.0,38808.666666666664,440.76666666666665,0.9888782256523589,0.0,0.011075663653925814,0.011075663653925823,5.584861452942479,5.584861452942479,5.137073074493388,0.0,996.6671237457131,464.24502749685485,0.01163493536256785,0.0,0.0
fec_simple_kmeans,0.3,0.0,0.09877408056042028,0.9012259194395796,9.348397223154704,9.348397223154704,18.993850525422022,0.0,38703.2,613.5,0.9845087275610365,0.0,0.021660663561766578,0.021660663561766588,5.354155673989819,5.354155673989819,5.8570414126614265,0.0,779.3550495976357,675.9507748349727,0.01696692918071937,0.0,0.0
fec_simple_kmeans,0.4,0.0,0.09141856392294216,0.9085814360770578,10.546456789970398,10.546456789970398,20.734602738823742,0.0,38231.53333333333,956.2333333333333,0.9757362509801856,0.0,0.015081646333878094,0.015081646333878092,5.044718515191623,5.044718515191623,4.616020912189565,0.0,1103.6701117433408,761.2855654892073,0.01918596799397804,0.0,0.0
fec_simple_kmeans,0.5,0.0,0.09994162288382949,0.9000583771161705,8.095738776524861,8.095738776524861,17.567155239513763,0.0,38466.6,607.4666666666667,0.9844416926788747,0.0,0.02736735145169151,0.02736735145169151,4.484959434071298,4.484959434071298,4.050187296570349,0.0,900.3541377332224,629.6074826606035,0.016101069423537104,0.0,0.0
