source,sampling_method,mode,sampling_fraction,sample_fraction,threshold,fake_hit_threshold,speedup,speedup_pvalue,delta_mae_vs_baseline,delta_accuracy_vs_baseline,final_test_mae_mean,final_test_mae_std,final_test_accuracy_mean,final_test_accuracy_std,total_time_sec_mean,total_time_sec_std,mae_pvalue
baseline,,baseline_simple,,1.0,,,1.0,,0.0,0.0,0.34878253568429884,0.023257008781041588,0.6512174643157012,0.023257008781041574,39.498844265937805,9.270486472805446,
FEC,farthest_point,fec_simple_farthest_point,0.1,0.1,0.0,0.0,1.5877894006197846,7.995777989992336e-10,-0.011272040302266917,0.011272040302266917,0.3375104953820319,0.004854678638296687,0.6624895046179681,0.004854678638296646,29.515761669476827,4.130666215293161,0.01565722606401985
FEC,farthest_point,fec_simple_farthest_point,0.2,0.2,0.0,0.0,1.0615790440742476,0.13799890475585927,-0.011649874055415566,0.01164987405541551,0.3371326616288833,0.005010113277517171,0.6628673383711167,0.005010113277517188,42.78057305018107,6.783881399961535,0.0128466612755782
FEC,farthest_point,fec_simple_farthest_point,0.3,0.3,0.0,0.0,1.417078727200587,1.998969322447747e-07,-0.012405541561712752,0.012405541561712807,0.3363769941225861,0.004859033180585261,0.663623005877414,0.004859033180585245,31.823205161094666,5.282621592725458,0.008402172918496447
FEC,farthest_point,fec_simple_farthest_point,0.4,0.4,0.0,0.0,1.4171855870981724,1.4409218980608014e-07,-0.01150293870696889,0.011502938706968835,0.33727959697732995,0.00491452917772019,0.66272040302267,0.004914529177720196,31.77293020884196,4.3237223355307774,0.01385769821897443
FEC,farthest_point,fec_simple_farthest_point,0.5,0.5,0.0,0.0,1.3534825555366317,1.289847727730086e-06,-0.012447523089840373,0.012447523089840318,0.33633501259445847,0.005493046734141773,0.6636649874055415,0.005493046734141796,33.08749543031057,4.241268362974218,0.008458602748529631
FEC,kmeans,fec_simple_kmeans,0.1,0.1,0.0,0.0,1.381513427758739,1.1507607400179511e-06,-0.011628883291351755,0.0116288832913517,0.3371536523929471,0.006119662777459117,0.6628463476070529,0.0061196627774591,31.167926907539368,5.98981590472341,0.013705058125870606
FEC,kmeans,fec_simple_kmeans,0.2,0.2,0.0,0.0,1.3235511933853656,6.361079543652805e-06,-0.013056255247690995,0.01305625524769094,0.33572628043660785,0.00508409998837986,0.6642737195633921,0.005084099988379893,32.183655468622845,5.376252712039976,0.005871230319710756
FEC,kmeans,fec_simple_kmeans,0.3,0.3,0.0,0.0,1.2675007315127196,3.402055470630314e-05,-0.011146095717884053,0.011146095717884053,0.3376364399664148,0.004129636094307486,0.6623635600335852,0.004129636094307478,33.35833324591319,3.924479113908692,0.016302433221203803
FEC,kmeans,fec_simple_kmeans,0.4,0.4,0.0,0.0,1.256440112894432,5.891892986480278e-05,-0.01049538203190592,0.01049538203190592,0.3382871536523929,0.0069009511249468495,0.6617128463476071,0.006900951124946845,33.877519607543945,4.2065267512624684,0.025877710934921364
FEC,kmeans,fec_simple_kmeans,0.5,0.5,0.0,0.0,1.3778778922604642,6.781238838948457e-07,-0.012258606213266077,0.012258606213266021,0.33652392947103277,0.004991919693351721,0.6634760705289672,0.004991919693351725,31.21645324230194,4.748613558948751,0.009176709807108108
FEC,kmedoids,fec_simple_kmedoids,0.1,0.1,0.0,0.0,1.3255244710380498,5.3928210121812175e-06,-0.012741393786733834,0.012741393786733779,0.336041141897565,0.006001633508837636,0.6639588581024349,0.006001633508837688,32.29987411499023,5.127978544739854,0.0073695512155648735
FEC,kmedoids,fec_simple_kmedoids,0.2,0.2,0.0,0.0,1.2961412842121631,1.58508614177032e-05,-0.01179680940386224,0.011796809403862185,0.3369857262804366,0.006541713611901366,0.6630142737195633,0.0065417136119013805,32.84409557978312,5.101138855432861,0.012808203326846858
