mode,sample_fraction,fake_hit_threshold,final_test_mae_mean,final_test_accuracy_mean,total_time_sec_mean,total_time_fair_sec_mean,total_wall_time_sec_mean,fake_eval_time_sec_mean,hits_mean,misses_mean,hit_rate_overall_mean,fake_hits_mean,final_test_mae_std,final_test_accuracy_std,total_time_sec_std,total_time_fair_sec_std,total_wall_time_sec_std,fake_eval_time_sec_std,hits_std,misses_std,hit_rate_overall_std,fake_hits_std,fake_hit_rate_overall_mean
fec_simple_farthest_point,0.1,0.0,0.3719781189341803,0.6280218810658197,24.724028666814167,24.724028666814167,32.48001463466014,0.0,26546.233333333334,10919.366666666667,0.7085024258026569,0.0,0.0069054360665265066,0.0069054360665265005,4.807912628293509,4.807912628293509,4.81902150816231,0.0,1945.991412850758,1839.8419947255136,0.04893008065428961,0.0,0.0
fec_simple_farthest_point,0.2,0.0,0.3728251279336509,0.6271748720663491,24.428708132108053,24.428708132108053,55.33256753738969,0.0,25495.0,12099.0,0.6779233705132955,0.0,0.0082487550712812,0.00824875507128121,5.652263711687588,5.652263711687588,5.6666045857549525,0.0,2081.2310139274146,1863.0544991133957,0.05118786202852362,0.0,0.0
fec_simple_farthest_point,0.3,0.0,0.371731074642668,0.6282689253573319,25.87984879016876,25.87984879016876,95.99461785722524,0.0,24957.8,12590.233333333334,0.6648796257611574,0.0,0.007615724937365566,0.007615724937365566,5.38981264196527,5.38981264196527,5.888627596981832,0.0,1918.8408723323917,2014.3354683093105,0.05245473831443539,0.0,0.0
fec_simple_farthest_point,0.4,0.0,0.3719251808717134,0.6280748191282866,27.081092302004496,27.081092302004496,152.1571991449222,0.0,24379.366666666665,13323.7,0.6468428672077507,0.0,0.005988764146319731,0.005988764146319678,5.624959506022155,5.624959506022155,5.742532025292765,0.0,1996.0780626574256,2092.950455696455,0.053237260207302774,0.0,0.0
fec_simple_farthest_point,0.5,0.0,0.3375944584382871,0.6624055415617128,28.667011880874632,28.667011880874632,144.5873892430992,0.0,23066.066666666666,14447.233333333334,0.61554454650284,0.0,0.005344241934958521,0.005344241934958538,5.328101363275425,5.328101363275425,5.655435818983383,0.0,1816.6895338010352,2188.1476135966896,0.056633674716031875,0.0,0.0
fec_simple_kmeans,0.1,0.0,0.3715016763719781,0.6284983236280219,28.909801189104716,28.909801189104716,46.61195496266397,0.0,17381.966666666667,19801.566666666666,0.4676612497306542,0.0,0.006510425189285111,0.006510425189285132,5.735776355041898,5.735776355041898,5.959716578823303,0.0,2448.4861783468477,2560.7788227195433,0.06590844745768831,0.0,0.0
fec_simple_kmeans,0.2,0.0,0.37139580024704427,0.6286041997529558,29.977908674875895,29.977908674875895,47.59697792689937,0.0,16408.4,21056.933333333334,0.4375597895738447,0.0,0.005988764146319735,0.005988764146319735,5.632009541289529,5.632009541289529,5.816949276108956,0.0,1925.3749695405656,1624.537142969926,0.04580258944496876,0.0,0.0
fec_simple_kmeans,0.3,0.0,0.37340744662078695,0.626592553379213,31.298941477139792,31.298941477139792,49.44100305130705,0.0,16289.5,21294.966666666667,0.433381469647295,0.0,0.005743203745791762,0.005743203745791767,4.721987220061242,4.721987220061242,4.493545321321407,0.0,2183.2683565394946,2177.7472685221205,0.05694324243970296,0.0,0.0
fec_simple_kmeans,0.4,0.0,0.3730898182459855,0.6269101817540145,29.230620272954305,29.230620272954305,48.27242985061991,0.0,17710.733333333334,19573.566666666666,0.47604085668672896,0.0,0.007472438741300091,0.007472438741300088,6.1068833487808964,6.1068833487808964,6.028753612675541,0.0,3011.570907166041,3443.856352824387,0.08643257505119174,0.0,0.0
fec_simple_kmeans,0.5,0.0,0.337384550797649,0.6626154492023509,29.835181895891825,29.835181895891825,48.876701470759386,0.0,17917.8,19486.1,0.47881538443445404,0.0,0.006330064130483623,0.006330064130483606,4.664092495805424,4.664092495805424,4.8031083214717984,0.0,1409.1741884285757,1181.14064502638,0.0331114975035583,0.0,0.0
fec_simple_kmedoids,0.1,0.0,0.3723310393506264,0.6276689606493736,31.196816086769104,31.196816086769104,48.38598125089581,0.0,17244.6,20494.133333333335,0.4570832192986485,0.0,0.007050021486383277,0.00705002148638328,5.900868155488544,5.900868155488544,5.730566664341507,0.0,2377.7435045297325,2468.117322080852,0.06408395139836975,0.0,0.0
fec_simple_kmedoids,0.2,0.0,0.372542791600494,0.6274572083995059,27.124162809054056,27.124162809054056,44.5505639192493,0.0,16912.5,20576.033333333333,0.4507664944161452,0.0,0.004598676262392216,0.004598676262392231,5.77871343122925,5.77871343122925,5.746001211507202,0.0,2477.6424647905383,2268.1114535127144,0.06242578760485023,0.0,0.0
fec_simple_kmedoids,0.3,0.0,0.3720839950591141,0.6279160049408858,28.854604387283324,28.854604387283324,47.05691278288141,0.0,16808.666666666668,20759.733333333334,0.4484089720644952,0.0,0.005330266770883046,0.0053302667708830355,6.534643633592035,6.534643633592035,5.906659336718,0.0,2865.348126997641,3313.657978059226,0.0831588509469974,0.0,0.0
fec_simple_kmedoids,0.4,0.0,0.37137815422622195,0.6286218457737781,30.76462570031484,30.76462570031484,49.92088960657517,0.0,17203.333333333332,20373.133333333335,0.457875327269462,0.0,0.006366864291730683,0.00636686429173067,4.254530288830692,4.254530288830692,4.3418304042054725,0.0,1585.1205071609606,1644.1774586569281,0.04182611512205734,0.0,0.0
fec_simple_kmedoids,0.5,0.0,0.3367968094038623,0.6632031905961376,30.434561252593994,30.434561252593994,48.792291997047144,0.0,17690.766666666666,19686.0,0.47330453978508374,0.0,0.004570253844422219,0.00457025384442223,4.721088485745992,4.721088485745992,4.847629054686805,0.0,2131.4597295958683,2137.1970584545234,0.056553189573505566,0.0,0.0
fec_simple_stratified,0.1,0.0,0.3731251102876301,0.6268748897123699,24.24611053466797,24.24611053466797,24.53806513949918,0.0,26875.866666666665,10414.933333333332,0.7207857422626875,0.0,0.004359138636681007,0.004359138636681002,4.362405802756043,4.362405802756043,4.363237169399386,0.0,1283.0549931922465,1232.2588454631689,0.03201524695547211,0.0,0.0
fec_simple_stratified,0.2,0.0,0.373407446620787,0.626592553379213,24.714106019337972,24.714106019337972,25.00805633662579,0.0,25390.933333333334,12158.566666666668,0.6764322052842947,0.0,0.004680322200023746,0.004680322200023722,4.812249230894647,4.812249230894647,4.7994900341721465,0.0,1960.060508136307,2077.22858128057,0.05319762294317517,0.0,0.0
fec_simple_stratified,0.3,0.0,0.37280748191282864,0.6271925180871712,26.86158801714579,26.86158801714579,27.174895611560594,0.0,25033.866666666665,12875.7,0.6604210190578184,0.0,0.00519707518453908,0.0051970751845390835,5.0063411723251665,5.0063411723251665,5.017728744072409,0.0,2060.9119782810285,2054.2226940297073,0.053722012707475106,0.0,0.0
fec_simple_stratified,0.4,0.0,0.3727368978295394,0.6272631021704606,28.639126976331074,28.639126976331074,28.945260447946687,0.0,23994.6,13438.133333333333,0.6408235801100554,0.0,0.007088365051901244,0.007088365051901259,5.449591885188566,5.449591885188566,5.439985304243517,0.0,1915.2182051487832,1687.3235558784277,0.04532129564180246,0.0,0.0
fec_simple_stratified,0.5,0.0,0.338056255247691,0.661943744752309,27.353878768285117,27.353878768285117,27.652197287169596,0.0,23565.6,13874.933333333332,0.6289851661919033,0.0,0.005477945987803858,0.005477945987803858,3.8449605047234314,3.8449605047234314,3.85004031910711,0.0,2248.5608523379274,1906.1966833345284,0.052802912302964175,0.0,0.0
